,original_title,genres,vote_average,category
2351,Trick or Treat,"Horror, Music",5.6,Good
2352,Deadly Friend,"Horror, Science Fiction",5.9,Good
2353,Belizaire the Cajun,"Romance, Drama, History",5,Good
2354,The Name of the Rose,"Drama, Thriller, Mystery",7.2,Good
2355,Jumpin' Jack Flash,"Romance, Comedy, Thriller",5.9,Good
2356,Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance",5.9,Good
2357,Crocodile Dundee,"Adventure, Comedy",6.3,Good
2358,Crocodile Dundee II,"Adventure, Comedy",5.5,Good
2359,Tough Guys,"Comedy, Crime",5.7,Good
2360,Soul Man,Comedy,5.4,Good
2361,The Color of Money,Drama,6.7,Good
2362,52 Pick-Up,"Crime, Drama, Thriller",5.8,Good
2363,Heartbreak Ridge,"Action, Comedy, Drama, War",6.5,Good
2364,Firewalker,"Action, Adventure, Comedy",5,Good
2365,¡Three Amigos!,"Comedy, Western",6.3,Good
2366,Gloria,"Drama, Action, Thriller, Crime",5.5,Good
2367,Nettoyage à sec,Drama,4.7,Bad
2368,My Name Is Joe,"Drama, Romance",7.1,Good
2369,Still Crazy,"Comedy, Music",7.1,Good
2370,El día de la bestia,"Action, Comedy, Horror, Crime",6.9,Good
2371,Tinseltown,,5,Good
2372,She's All That,"Comedy, Romance",5.7,Good
2374,"Blood, Guts, Bullets and Octane","Action, Comedy, Thriller",6,Good
2375,Peeping Tom,"Horror, Thriller",7.6,Good
2377,Payback,"Drama, Action, Thriller, Crime",6.7,Good
2378,Simply Irresistible,Comedy,5.5,Good
2379,20 Dates,"Romance, Comedy",3.7,Bad
2380,Comedian Harmonists,"Music, Drama",6.7,Good
2381,The Last Days,"Documentary, Drama, History, War",7.7,Good
2382,La planète sauvage,"Animation, Fantasy, Science Fiction",7.6,Good
2383,Blast from the Past,"Comedy, Romance",6.3,Good
2384,Message in a Bottle,"Romance, Drama",5.9,Good
2385,My Favorite Martian,"Comedy, Drama, Family, Science Fiction",5.1,Good
2386,"God Said, 'Ha!'",Comedy,8,Very Good
2387,Jawbreaker,Comedy,5.9,Good
2388,October Sky,"Drama, Family",7.4,Good
2389,Office Space,"Comedy, Crime",7.4,Good
2390,سیب,Drama,7.3,Good
2391,200 Cigarettes,"Comedy, Drama, Romance",6.1,Good
2392,8MM,"Thriller, Crime, Mystery",6.1,Good
2393,The Other Sister,"Comedy, Drama, Romance",6,Good
2394,Breakfast of Champions,Comedy,5.2,Good
2395,The Breaks,Comedy,5.2,Good
2396,Eight Days a Week,"Comedy, Drama, Romance",6,Good
2397,Just the Ticket,"Comedy, Romance",5.8,Good
2398,The Long Goodbye,"Thriller, Crime, Drama, Mystery",7.3,Good
2399,楢山節考,Drama,7.1,Good
2400,Pet Sematary,"Drama, Horror",6.4,Good
2401,Pet Sematary II,Horror,5,Good
2402,Children of the Corn II: The Final Sacrifice,Horror,4.5,Bad
2403,Children of the Corn III: Urban Harvest,"Thriller, Horror",4.7,Bad
2404,Christine,Horror,6.5,Good
2405,Night Shift,Comedy,5.9,Good
2406,House on Haunted Hill,"Drama, Horror, Thriller",6.9,Good
2407,Airport,"Action, Drama, Thriller",6.2,Good
2408,Airport 1975,"Action, Adventure, Drama, Thriller",5.5,Good
2409,Airport '77,"Action, Adventure, Drama, Thriller",5.8,Good
2410,Rollercoaster,"Action, Thriller",5.4,Good
2411,The Towering Inferno,"Action, Thriller",7.1,Good
2412,Alligator,"Horror, Science Fiction, Thriller",5.6,Good
2413,Meteor,"Action, Science Fiction, Thriller",5.1,Good
2414,Westworld,"Action, Adventure, Drama, Horror, Science Fiction, Thriller, Western",6.7,Good
2415,Logan's Run,"Adventure, Action, Romance, Science Fiction",6.6,Good
2416,Planet of the Apes,"Science Fiction, Adventure, Drama, Action",7.5,Good
2417,Beneath the Planet of the Apes,"Adventure, Science Fiction, Mystery",6.2,Good
2418,Battle for the Planet of the Apes,"Action, Science Fiction",5.5,Good
2419,Conquest of the Planet of the Apes,"Action, Science Fiction",6.1,Good
2420,Escape from the Planet of the Apes,"Action, Science Fiction",6.3,Good
2421,Avalanche,"Action, Adventure, Drama",3.2,Bad
2422,Earthquake,"Action, Drama, Thriller",5.6,Good
2423,The Concorde... Airport '79,"Action, Drama, Thriller",4.7,Bad
2424,Beyond the Poseidon Adventure,"Action, Adventure, Drama",5.3,Good
2425,The Dancemaker,Documentary,7,Good
2426,Analyze This,"Comedy, Crime",6.4,Good
2427,The Corruptor,"Action, Crime, Mystery, Thriller",6.1,Good
2428,Cruel Intentions,"Drama, Romance, Thriller",6.6,Good
2429,"Lock, Stock and Two Smoking Barrels","Comedy, Crime",7.5,Good
2430,Six Ways to Sunday,Comedy,6.1,Good
2431,L'école de la chair,"Romance, Drama, Mystery",5.7,Good
2432,Relax... It's Just Sex,Comedy,3.7,Bad
2433,The Deep End of the Ocean,"Drama, Mystery",6,Good
2435,The Rage: Carrie 2,"Horror, Thriller, Science Fiction",5.1,Good
2436,Wing Commander,"Action, Science Fiction",4,Bad
2437,The Haunting,"Mystery, Horror, Thriller",7.2,Good
2438,Dead Ringers,"Drama, Horror, Thriller",7,Good
2439,My Boyfriend's Back,"Comedy, Romance",5.4,Good
2440,Village of the Damned,"Horror, Science Fiction",7.1,Good
2441,Children of the Damned,"Science Fiction, Thriller",5.9,Good
2442,Baby Geniuses,"Science Fiction, Comedy, Family",3.3,Bad
2444,Seul contre tous,"Drama, Thriller",7.5,Good
2445,Forces of Nature,"Romance, Comedy",5.1,Good
2446,The King and I,"Animation, Drama, Family",5,Good
2447,Ravenous,"Comedy, Horror, Thriller, Western",6.8,Good
2448,True Crime,"Crime, Drama",6.3,Good
2449,Bandits,"Action, Drama, Foreign",5.4,Good
2450,Dangerous Beauty,"Drama, Romance",6.9,Good
2451,The Empty Mirror,Drama,6,Good
2452,The King and I,"Drama, Music, Romance",7.3,Good
2453,Doug's 1st Movie,"Animation, Family, Comedy",5.4,Good
2454,Edtv,Comedy,5.7,Good
2455,The Mod Squad,"Action, Mystery, Thriller",4.1,Bad
2456,Among Giants,"Comedy, Romance",4.5,Bad
2457,A Walk on the Moon,"Drama, Romance",6.2,Good
2458,The Matrix,"Action, Science Fiction",7.9,Good
2459,10 Things I Hate About You,"Comedy, Romance, Drama",7.3,Good
2460,"Tango, no me dejes nunca","Drama, Foreign, Romance",6.8,Good
2461,The Out-of-Towners,Comedy,5.1,Good
2462,La vie rêvée des anges,"Drama, Foreign",6.9,Good
2463,"Love, etc.",,6,Good
2464,Metroland,"Comedy, Drama",6.1,Good
2465,The Sticky Fingers of Time,"Science Fiction, Drama",4.8,Bad
2466,Following,"Crime, Drama, Thriller",7.2,Good
2467,Go,"Crime, Comedy, Thriller",7,Good
2468,Never Been Kissed,"Romance, Comedy, Drama",5.8,Good
2469,双龙会,"Comedy, Action",6.2,Good
2470,Cookie's Fortune,"Comedy, Drama, Thriller",6.2,Good
2471,Foolish,"Comedy, Drama",6.3,Good
2472,Los amantes del círculo polar,"Drama, Mystery, Romance",7.1,Good
2473,Goodbye Lover,"Thriller, Comedy, Crime, Mystery",5.8,Good
2474,Life,"Comedy, Crime",6.4,Good
2475,Friends & Lovers,"Comedy, Romance, Drama",5.5,Good
2476,Hideous Kinky,"Romance, Drama",6.2,Good
2477,Jeanne et le garçon formidable,Drama,4.5,Bad
2478,The Joyriders,,6,Good
2479,Il mostro,Comedy,6.8,Good
2480,Abre los ojos,"Drama, Thriller",7.4,Good
2482,SLC Punk,"Crime, Romance, Comedy, Drama, Music",7.3,Good
2483,Lost & Found,"Comedy, Romance",4.9,Bad
2484,Pushing Tin,"Comedy, Drama",5.7,Good
2485,Election,Comedy,6.7,Good
2486,eXistenZ,"Action, Thriller, Science Fiction, Horror",6.7,Good
2487,A Little Bit of Soul,,5,Good
2488,猩猩王,"Science Fiction, Action, Fantasy",4.8,Bad
2489,Nô,"Drama, Foreign",7,Good
2491,Entrapment,"Romance, Drama, Mystery",6,Good
2492,Idle Hands,"Thriller, Comedy, Horror",6.1,Good
2493,Get Real,"Drama, Romance",6.6,Good
2494,Heaven,"Crime, Thriller",6.1,Good
2495,变脸,Drama,7.8,Good
2496,Three Seasons,"Drama, Foreign",6.8,Good
2497,The Winslow Boy,Drama,6.4,Good
2498,Mildred Pierce,"Crime, Drama",7.4,Good
2499,Night of the Comet,"Comedy, Horror, Science Fiction",6.1,Good
2500,Chopping Mall,"Horror, Science Fiction",5.5,Good
2501,My Science Project,"Comedy, Family, Fantasy, Science Fiction",6.1,Good
2502,Dick Tracy,"Adventure, Action, Comedy, Thriller, Crime",5.9,Good
2503,The Mummy,"Adventure, Action, Fantasy",6.6,Good
2504,The Castle,"Drama, Comedy",7.4,Good
2505,Mascara,,6,Good
2506,This Is My Father,"Drama, Romance",4.5,Bad
2507,Tian yu,"Drama, Foreign",7.3,Good
2508,A Midsummer Night's Dream,"Fantasy, Drama, Comedy, Romance",6.4,Good
2509,Trippin',"Comedy, Romance",4.5,Bad
2510,ワンダフルライフ,"Fantasy, Drama",7.3,Good
2511,黑侠,Action,5.8,Good
2512,Edge of Seventeen,"Comedy, Drama, Romance",5.7,Good
2513,Endurance,Drama,6,Good
2514,Star Wars: Episode I - The Phantom Menace,"Adventure, Action, Science Fiction",6.4,Good
2515,The Love Letter,"Comedy, Drama, Romance",5.9,Good
2516,L'assedio,"Drama, Romance",7.2,Good
2518,Rekopis znaleziony w Saragossie,"Comedy, Drama, Fantasy, Mystery",7.4,Good
2519,The Mummy,Horror,6.9,Good
2520,The Mummy,Horror,6.8,Good
2521,The Mummy's Curse,Horror,6.9,Good
2522,The Mummy's Ghost,Horror,6.9,Good
2523,The Mummy's Hand,Horror,6.5,Good
2524,The Mummy's Tomb,"Drama, Fantasy, Horror, Mystery, Thriller",8.3,Very Good
2525,Mommie Dearest,Drama,6.6,Good
2526,Superman,"Action, Adventure, Fantasy, Science Fiction",6.9,Good
2527,Superman II,"Action, Adventure, Fantasy, Science Fiction",6.5,Good
2528,Superman III,"Comedy, Action, Adventure, Fantasy, Science Fiction",5.3,Good
2529,Superman IV: The Quest for Peace,"Action, Adventure, Science Fiction",4.1,Bad
2530,Dracula,Horror,7.2,Good
2531,House of Dracula,"Horror, Science Fiction",5.8,Good
2532,House of Frankenstein,"Fantasy, Horror, Science Fiction, Thriller",6.2,Good
2533,Frankenstein,"Drama, Horror, Science Fiction",7.3,Good
2534,Son of Frankenstein,"Horror, Science Fiction",7,Good
2535,The Ghost of Frankenstein,"Fantasy, Horror, Science Fiction",6.4,Good
2536,Frankenstein Meets the Wolf Man,"Fantasy, Horror, Science Fiction",6.5,Good
2537,The Curse of Frankenstein,"Horror, Science Fiction",6.8,Good
2538,Son of Dracula,"Fantasy, Horror",6.8,Good
2539,The Wolf Man,"Horror, Drama",7.2,Good
2540,Howling II: Stirba - Werewolf Bitch,"Thriller, Horror",4.2,Bad
2541,Tarantula,"Horror, Science Fiction, Thriller",6.1,Good
2542,The Rocky Horror Picture Show,"Comedy, Horror, Music, Science Fiction",7.4,Good
2543,The Flying Saucer,"Thriller, Science Fiction",3.05,Bad
2544,It Came from Hollywood,"Comedy, Documentary",6,Good
2545,The Thing from Another World,"Horror, Science Fiction",6.9,Good
2546,It Came from Outer Space,"Horror, Science Fiction",6.2,Good
2547,The War of the Worlds,"Horror, Science Fiction, Thriller",6.8,Good
2548,It Came from Beneath the Sea,"Horror, Science Fiction",5.4,Good
2549,Invasion of the Body Snatchers,"Horror, Science Fiction",7.3,Good
2550,Earth vs. the Flying Saucers,"Action, Science Fiction",6,Good
2551,It Conquered the World,"Horror, Science Fiction, Thriller",4,Bad
2552,The Mole People,"Adventure, Fantasy, Horror, Science Fiction",4.4,Bad
2553,Swamp Thing,"Horror, Science Fiction",5.4,Good
2554,Pork Chop Hill,"Action, War, Drama",6.4,Good
2555,"Run Silent, Run Deep","Drama, War",7.5,Good
2556,Notting Hill,"Romance, Comedy, Drama",7,Good
2557,The Thirteenth Floor,"Thriller, Science Fiction, Mystery",6.8,Good
2558,Μια αιωνιότητα και μια μέρα,Drama,7.1,Good
2559,The Loss of Sexual Innocence,Drama,5.2,Good
2560,The Man with Rain in His Shoes,"Comedy, Drama, Romance",5.1,Good
2561,Instinct,"Drama, Mystery, Thriller",6.3,Good
2562,Buena Vista Social Club,"Documentary, Music",7.3,Good
2563,Desert Blue,"Comedy, Drama",5.5,Good
2564,A Place at the Table,Documentary,6.9,Good
2565,Floating,Drama,5,Good
2566,Free Enterprise,"Comedy, Romance",5.8,Good
2567,Limbo,"Adventure, Drama, Thriller",7,Good
2568,Austin Powers: The Spy Who Shagged Me,"Adventure, Comedy, Crime, Science Fiction",6.1,Good
2570,Le nain rouge,"Drama, Comedy",5.5,Good
2571,The Red Violin,"Drama, Thriller, Mystery, Music, Romance",7.2,Good
2572,Tarzan,"Adventure, Animation, Drama, Family",7.1,Good
2573,The General's Daughter,"Crime, Drama, Mystery, Thriller",6.1,Good
2574,Get Bruce!,"Comedy, Documentary",6.2,Good
2575,An Ideal Husband,"Drama, Comedy, Romance",6.3,Good
2576,La leggenda del pianista sull'oceano,Fantasy,8.1,Very Good
2577,Lola rennt,"Action, Drama, Thriller",7.2,Good
2578,Trekkies,Documentary,6.3,Good
2579,Big Daddy,"Comedy, Drama",6.2,Good
2580,The Boys,Drama,6.8,Good
2581,Le Dîner de cons,Comedy,7.7,Good
2582,My Son the Fanatic,"Drama, Comedy, Foreign",4.7,Bad
2583,Zone 39,Science Fiction,5,Good
2584,Arachnophobia,"Comedy, Horror",6.2,Good
2585,"South Park: Bigger, Longer & Uncut","Animation, Comedy, Music",7.1,Good
2586,Wild Wild West,"Action, Adventure, Comedy, Science Fiction, Western",5.1,Good
2587,Summer of Sam,"Thriller, Drama, Crime, Romance",6.3,Good
2588,Broken Vessels,Drama,6,Good
2589,Les Amants du Pont-Neuf,"Drama, Romance",7.5,Good
2590,"Fin août, début septembre","Drama, Foreign",7.3,Good
2591,American Pie,"Comedy, Romance",6.4,Good
2592,Arlington Road,"Drama, Thriller, Mystery",7,Good
2593,Conte d'automne,"Drama, Romance",7,Good
2594,Muppets from Space,"Fantasy, Comedy, Science Fiction, Family",5.8,Good
2595,The Blair Witch Project,"Horror, Mystery",6.3,Good
2596,My Life So Far,"Comedy, Drama",6.1,Good
2597,Eyes Wide Shut,"Mystery, Drama",7.1,Good
2598,Lake Placid,"Horror, Comedy, Action, Science Fiction, Thriller",5.5,Good
2599,The Wood,"Comedy, Drama, Romance",7.1,Good
2600,The Velocity of Gary,"Drama, Romance",4.2,Bad
2601,Ghostbusters,"Comedy, Fantasy",7.3,Good
2602,Ghostbusters II,"Comedy, Fantasy",6.3,Good
2603,Drop Dead Gorgeous,Comedy,6.5,Good
2604,The Haunting,"Horror, Thriller, Fantasy, Mystery",5.2,Good
2605,Inspector Gadget,"Action, Adventure, Comedy, Family",4.3,Bad
2606,Trick,"Comedy, Romance",6.7,Good
2607,Deep Blue Sea,"Action, Science Fiction, Thriller",5.6,Good
2608,Mystery Men,"Adventure, Fantasy, Action, Comedy, Science Fiction",5.7,Good
2609,Runaway Bride,"Comedy, Romance",5.8,Good
2610,Twin Falls Idaho,"Drama, Romance",7.1,Good
2611,The Killing,"Drama, Action, Thriller, Crime",7.7,Good
2612,Killer's Kiss,"Crime, Drama, Thriller",6.2,Good
2613,Spartacus,"Action, Drama, History",7.3,Good
2614,Lolita,"Drama, Romance",7.3,Good
2615,Barry Lyndon,"Drama, Romance, War",7.7,Good
2616,Les Quatre Cents Coups,Drama,8,Very Good
2617,Jules et Jim,"Drama, Romance",7.6,Good
2618,Vibes,"Romance, Action, Comedy",6,Good
2619,The Mosquito Coast,"Adventure, Drama",6.3,Good
2620,The Golden Child,"Action, Adventure, Comedy",5.6,Good
2621,Brighton Beach Memoirs,"Comedy, Drama, Romance",6.2,Good
2622,Assassination,"Drama, Action, Thriller",5.6,Good
2623,Crimes of the Heart,"Drama, Family",6,Good
2624,The Color Purple,Drama,7.7,Good
2625,The Kindred,"Horror, Science Fiction",5.9,Good
2626,No Mercy,"Action, Crime, Thriller",5.7,Good
2627,Tenue de soirée,"Crime, Drama, Comedy",6,Good
2629,Otello,,6.7,Good
2630,The Mission,"Adventure, Drama, Action, History",7.1,Good
2631,Little Shop of Horrors,"Horror, Comedy, Music",6.7,Good
2632,The Little Shop of Horrors,Comedy,6.2,Good
2633,Allan Quatermain and the Lost City of Gold,"Action, Adventure, Comedy",4.6,Bad
2634,The Morning After,"Crime, Drama, Mystery, Thriller",5.9,Good
2635,Radio Days,"Comedy, Drama",7,Good
2636,From the Hip,"Comedy, Drama",5.8,Good
2637,Outrageous Fortune,"Action, Comedy, Mystery",5.6,Good
2638,The Bedroom Window,"Crime, Thriller, Mystery",6.2,Good
2639,Deadtime Stories,"Horror, Thriller",4.6,Bad
2640,Light of Day,"Music, Drama",5.4,Good
2641,Wanted: Dead or Alive,"Action, Thriller, Crime, Drama",5.4,Good
2642,Frances,Drama,7.1,Good
2643,Plenty,"Drama, Romance",5.9,Good
2644,Dick,Comedy,5.7,Good
2646,The Iron Giant,"Adventure, Animation, Family, Fantasy, Science Fiction",7.6,Good
2647,The Sixth Sense,"Mystery, Thriller, Drama",7.7,Good
2648,The Thomas Crown Affair,"Drama, Crime, Romance",6.7,Good
2649,The Thomas Crown Affair,"Romance, Crime, Thriller, Drama",6.9,Good
2650,The Acid House,"Comedy, Drama",6.4,Good
2651,The Adventures of Sebastian Cole,"Drama, Comedy",6.5,Good
2652,Illuminata,Drama,6.3,Good
2654,The Yards,"Drama, Action, Thriller, Crime",6,Good
2655,Bowfinger,Comedy,6,Good
2656,Brokedown Palace,"Drama, Thriller",6.2,Good
2657,Detroit Rock City,"Comedy, Music",6.7,Good
2658,Alice et Martin,"Drama, Romance",6,Good
2659,Better Than Chocolate,"Drama, Romance",6.4,Good
2660,Head On,Drama,5.8,Good
2661,"Marcello Mastroianni: mi ricordo, sì, io mi ricordo",Documentary,5.5,Good
2662,Cobra,"Drama, Romance",6.7,Good
2663,Never Talk to Strangers,"Thriller, Romance",4.7,Bad
2664,Heaven Can Wait,"Fantasy, Drama, Comedy, Romance",6.4,Good
2665,The Raven,"Comedy, Fantasy, Horror",6.3,Good
2666,The Tingler,Horror,6.4,Good
2667,The Pit and the Pendulum,"Fantasy, Horror, Drama",6.9,Good
2668,The Tomb of Ligeia,"Horror, Drama",5.8,Good
2669,The Masque of the Red Death,"Drama, Horror",6.6,Good
2670,Tales of Terror,"Thriller, Comedy, Horror, Mystery",6.3,Good
2671,Haunted Honeymoon,"Comedy, Horror, Music",5.4,Good
2672,Cat's Eye,"Comedy, Thriller, Horror",5.9,Good
2673,And Now for Something Completely Different,Comedy,7.1,Good
2674,Damien: Omen II,"Action, Drama, Horror, Thriller",6.1,Good
2675,Omen III: The Final Conflict,"Drama, Horror, Thriller",5.5,Good
2676,Airplane!,Comedy,7.1,Good
2677,Airplane II: The Sequel,Comedy,6,Good
2678,An American Werewolf in Paris,"Horror, Comedy",5.3,Good
2679,National Lampoon’s European Vacation,"Adventure, Comedy, Romance",6,Good
2680,National Lampoon's Vacation,"Comedy, Adventure, Romance",7.1,Good
2681,Funny Farm,Comedy,6,Good
2682,Big,"Fantasy, Drama, Comedy, Romance, Family",6.9,Good
2683,Problem Child,Comedy,5.5,Good
2684,Problem Child 2,Comedy,5.2,Good
2685,Little Nemo: Adventures In Slumberland,"Adventure, Animation, Family, Fantasy",7.1,Good
2686,Oscar and Lucinda,"Drama, Romance",6.2,Good
2687,Tequila Sunrise,"Action, Adventure, Crime, Romance, Thriller",6,Good
2688,The Pelican Brief,"Drama, Mystery, Thriller, Crime",6.3,Good
2689,A Christmas Story,"Comedy, Family",7.4,Good
2690,Mickey Blue Eyes,"Comedy, Crime, Romance",5.3,Good
2691,Teaching Mrs. Tingle,"Comedy, Thriller",5.3,Good
2692,Universal Soldier: The Return,"Action, Science Fiction",4.2,Bad
2693,Universal Soldier,"Thriller, Action, Science Fiction, Crime",5.8,Good
2694,Love Stinks,"Comedy, Romance",5.4,Good
2695,パーフェクトブルー,"Animation, Thriller",7.9,Good
2697,In Too Deep,"Drama, Action, Thriller, Crime",6.3,Good
2698,The Source,"Documentary, Foreign",4.9,Bad
2699,The Bat,"Horror, Mystery, Thriller",5.9,Good
2700,Iron Eagle,"Action, Thriller, War",4.8,Bad
2701,Iron Eagle II,"Action, Adventure, Drama, Thriller",4.3,Bad
2702,Iron Eagle III,"Action, Thriller",3.6,Bad
2703,Iron Eagle IV,"Action, Adventure",3.2,Bad
2704,Three Days of the Condor,"Action, Thriller, Mystery",7.2,Good
2705,Hamlet from the Lunt-Fontanne Theatre,,6,Good
2706,Male and Female,"Adventure, Drama",5,Good
2707,Medicine Man,Adventure,5.8,Good
2708,"Die Spinnen, 1. Teil - Der Goldene See",Adventure,5.7,Good
2709,On the Ropes,,5,Good
2710,Rosie,,5,Good
2711,The 13th Warrior,"Adventure, Fantasy, Action",6.4,Good
2712,The Astronaut's Wife,"Drama, Science Fiction, Thriller",5.5,Good
2713,Dudley Do-Right,"Comedy, Family, Romance",3.8,Bad
2714,The Muse,"Fantasy, Comedy",5.3,Good
2715,Bure baruta,Drama,7.3,Good
2716,A Dog Of Flanders,"Drama, Family",6.4,Good
2717,The Lost Son,"Mystery, Thriller",5.8,Good
2718,Lucie Aubrac,Drama,5.9,Good
2719,"Martha – Meet Frank, Daniel and Laurence","Comedy, Romance",5,Good
2720,Chill Factor,"Action, Comedy, Thriller",5.3,Good
2721,Outside Providence,"Romance, Comedy, Drama",5.6,Good
2722,Bedrooms and Hallways,"Comedy, Drama, Romance",5.9,Good
2723,I Woke Up Early The Day I Died,Comedy,4.7,Bad
2724,West Beyrouth,"Romance, Drama, Comedy",8.8,Very Good
2725,Stigmata,Horror,6,Good
2726,Stir of Echoes,"Horror, Mystery, Thriller",6.5,Good
2727,Best Laid Plans,"Drama, Thriller, Crime",6,Good
2728,"Crna mačka, beli mačor","Comedy, Romance",7.7,Good
2729,The Minus Man,"Drama, Thriller",6.4,Good
2730,Whiteboyz,"Comedy, Drama, Music",4.8,Bad
2731,Koneko monogatari,"Adventure, Drama, Family",6.7,Good
2732,Only Angels Have Wings,"Action, Adventure, Drama, Romance",7,Good
2733,Othello,"Drama, Romance",6.5,Good
2734,Queens Logic,"Comedy, Drama",5.7,Good
2735,Public Access,"Drama, Thriller",5.5,Good
2736,A Soldier's Story,"Drama, Mystery, War",6.2,Good
2737,Alice Sweet Alice,"Horror, Mystery, Thriller",6.4,Good
2738,Don't Look in the Basement,"Horror, Thriller",5.2,Good
2739,Nightmares,"Science Fiction, Horror",5.4,Good
2740,I Saw What You Did,"Horror, Mystery, Thriller",5.8,Good
2741,Yellow Submarine,"Animation, Fantasy, Music",7.1,Good
2742,American Beauty,Drama,7.9,Good
2743,Stop Making Sense,"Documentary, Music",8.7,Very Good
2744,Blue Streak,"Action, Comedy, Crime",6.1,Good
2745,For Love of the Game,"Drama, Romance",6.3,Good
2746,Caligola,"Drama, History, Romance",5.3,Good
2747,A Hard Day's Night,"Comedy, Music",7.3,Good
2748,Splendor,Comedy,5.5,Good
2749,Sugar Town,Comedy,5.5,Good
2750,The Buddy Holly Story,Drama,7.5,Good
2751,Fright Night,Horror,6.9,Good
2752,Fright Night Part 2,"Comedy, Horror",6.4,Good
2753,La séparation,"Drama, Foreign",5.4,Good
2754,Barefoot in the Park,"Comedy, Romance",6.9,Good
2755,Deliverance,"Drama, Adventure, Thriller",7.2,Good
2756,Excalibur,"Fantasy, Adventure",7.1,Good
2757,Lulu on the Bridge,"Drama, Mystery, Romance, Thriller",5.8,Good
2758,The Pajama Game,"Comedy, Music",6.3,Good
2759,Sommersby,"Drama, Thriller, Mystery, Romance",6,Good
2760,Thumbelina,"Animation, Drama, Family, Fantasy",6.1,Good
2761,Tommy,"Drama, Music",6.5,Good
2762,Hell Night,Horror,5.6,Good
2763,飛鷹計劃,"Action, Adventure, Crime, Thriller",7,Good
2764,龍兄虎弟,"Adventure, Action, Comedy",6.8,Good
2765,Double Jeopardy,"Crime, Drama, Mystery, Thriller",6.2,Good
2766,Jakob the Liar,"Comedy, Drama, History",6.1,Good
2767,Mumford,"Comedy, Drama, Romance",6.3,Good
2768,Dog Park,"Romance, Comedy",5.8,Good
2769,Guinevere,"Drama, Romance",5.9,Good
2770,The Adventures of Elmo in Grouchland,Family,6.3,Good
2771,Simon Sez,"Action, Comedy, Thriller",3.6,Bad
2772,Drive Me Crazy,"Drama, Comedy, Romance, Family",5.8,Good
2773,"Mystery, Alaska","Drama, Comedy",6,Good
2774,Three Kings,"Action, Adventure, Comedy",6.6,Good
2775,"Happy, Texas","Comedy, Crime",5.5,Good
2776,New Rose Hotel,"Drama, Science Fiction, Mystery",5,Good
2777,Plunkett & MacLeane,"Drama, Action, Comedy",6.1,Good
2779,Napoleon and Samantha,"Action, Adventure, Drama, Family",6.6,Good
2780,Alvarez Kelly,"Action, War, Western",6.6,Good
2781,E la nave va,"Comedy, Drama, Foreign, Music",7,Good
2782,The Dark Half,"Mystery, Horror",5.4,Good
2783,Gulliver's Travels,"Action, Adventure, Animation, Family",6.3,Good
2784,Monkey Shines,"Thriller, Drama, Horror, Science Fiction",6.2,Good
2785,Phantasm,"Horror, Science Fiction",6.5,Good
2786,Psycho II,"Horror, Mystery, Thriller",6,Good
2787,Psycho III,"Horror, Thriller",5.4,Good
2788,Rain,Drama,5.1,Good
2789,椿三十郎,"Drama, Action, Comedy",7.8,Good
2790,Random Hearts,"Drama, Romance",5.3,Good
2791,Superstar,"Comedy, Family",5,Good
2792,Boys Don't Cry,"Crime, Drama",7.2,Good
2794,L'ennui,"Drama, Romance",6.1,Good
2795,El abuelo,"Drama, Foreign",6.7,Good
2796,The Limey,"Action, Crime, Drama, Mystery, Thriller",6.6,Good
2797,The Mating Habits of the Earthbound Human,"Comedy, Romance, Science Fiction",6.4,Good
2798,Molly,"Drama, Comedy, Romance",5.5,Good
2799,Risky Business,"Comedy, Romance",6.4,Good
2800,Total Recall,"Action, Adventure, Science Fiction",7.1,Good
2801,Body Heat,"Drama, Thriller, Crime, Romance",7.1,Good
2802,Ferris Bueller's Day Off,Comedy,7.5,Good
2803,The Year of Living Dangerously,"War, Drama, Romance",6.8,Good
2804,Les Enfants du Paradis,"Drama, Romance",7.9,Good
2805,High Plains Drifter,Western,7.4,Good
2806,Hang 'em High,Western,6.7,Good
2807,Citizen's Band,Comedy,4.7,Bad
2808,醉拳,"Action, Comedy",7.2,Good
2809,Il conformista,Drama,7.6,Good
2810,Hairspray,"Comedy, Family, Music",6.6,Good
2811,Brief Encounter,"Drama, Romance",7.6,Good
2812,The Razor's Edge,Drama,6.9,Good
2813,Reds,"Drama, History",7.1,Good
2814,Return with Honor,Documentary,4,Bad
2815,Dom za vešanje,"Drama, Comedy, Crime, Fantasy",7.2,Good
2816,Days of Heaven,"Drama, Romance",7.6,Good
2817,Le Feu Follet,Drama,7.4,Good
2818,El amor brujo,,7,Good
2819,The Lady Eve,"Comedy, Romance",7.5,Good
2820,Sullivan's Travels,"Adventure, Comedy, Drama, Romance",8,Very Good
2821,The Palm Beach Story,"Comedy, Romance",7.3,Good
2822,Hombre mirando al sudeste,"Mystery, Science Fiction, Drama",7.1,Good
2823,Niagara,"Crime, Drama, Thriller",6.7,Good
2824,Gilda,"Drama, Romance, Thriller",7.6,Good
2825,South Pacific,"Music, Romance, War",6.3,Good
2826,Flashdance,"Drama, Music, Romance",6.1,Good
2827,Indochine,"Drama, Romance",7.2,Good
2828,The Dirty Dozen,"Action, Adventure, War",7.5,Good
2829,Mike's Murder,"Drama, Mystery, Thriller",5.5,Good
2830,Help!,"Comedy, Music",6.5,Good
